id,region_code,publish_date,channel_id,channel_name,title,description,category_id,duration,caption,views,likes,comment_count
Lzvxso_EBTM,US,2025-02-24T04:00:18Z,UCsN32BtMd0IoByjJRNF12cw,60 Minutes,John Oliver: The 60 Minutes Interview,"John Oliver has been unleashing his searing, satirical take on the U.S., his adopted homeland, for years. The comedian plans to continue for ""as long as America has systemic problems.""

""60 Minutes"" is the most successful television broadcast in history. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 and is still a hit, over 50 seasons later, regularly making Nielsen's Top 10.

Subscribe to the “60 Minutes” YouTube channel: http://bit.ly/1S7CLRu
Watch full episodes: http://cbsn.ws/1Qkjo1F
Get more “60 Minutes” from “60 Minutes: Overtime”: http://cbsn.ws/1KG3sdr
Follow “60 Minutes” on Instagram: http://bit.ly/23Xv8Ry
Like “60 Minutes” on Facebook: http://on.fb.me/1Xb1Dao
Follow “60 Minutes” on Twitter: http://bit.ly/1KxUsqX
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com",25,PT13M34S,FALSE,641323,23015,1877
SD2UiX1jpd8,US,2025-02-22T16:00:06Z,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,IS THIS THE BEST BRAWLER EVER?!,"IMPROVED REWARDS FOR F2P, A FULL RANKED REWORK, TWO NEW BRAWLERS, GADGET CHANGES, AND MORE!
YOUTOOZ PRE-ORDER: https://youtooz.com/collections/brawl-stars
FREE SPRAY: https://link.brawlstars.com/?action=voucher&code=974a1b0f-b2f7-45c5-978e-bdade83062a1

Download NOW!! ►► https://supr.cl/2K62CZG
Subscribe!! ►► https://supr.cl/subscribe
#brawlstars #brawltalk #update",20,PT10M9S,TRUE,12371191,479856,49681
OpxlOuihWV8,US,2025-02-22T13:31:28Z,UC9ha3sh4YTCSK83dH6OlWTw,WTVR CBS 6,"Trump reportedly plans to take control of USPS, dismiss board",The plan as reported would dissolve the USPS board of directors by executive order and move control of the service under the Department of Commerce.,25,PT19S,TRUE,127984,309,0
ZB5lkA8s_Pc,US,2025-02-23T17:24:44Z,UCZevH_tgMbrm6r-_OiU6Ubg,Drew Dirksen,"Squid Games, But I Feel REAL Pain!","Watch More Drew Dirksen:
Most Popular: https://www.youtube.com/watch?v=6MbAlUUO2Ek&list=PLotc2XcImsZOPtVQjHLA-kZ88Kh3aeRG7

Subscribe: https://tinyurl.com/2hx9y473 | Make sure to enable ALL push notifications! 
Watch the latest videos: https://tinyurl.com/5bxry9pe 

*FOLLOW ME ON MY OTHER SOCIALS!*
TIKTOK (@DrewDirksen) https://vm.tiktok.com/XmJH4N/
INSTAGRAM (@DrewDirksen) ► https://www.instagram.com/drewdirksen
FACEBOOK: https://www.facebook.com/DrewDirksenOfficial

FOLLOW MY FRIENDS!!
Capron Funk:
https://www.youtube.com/channel/UCSqEMt26wLsKC6K_wTyr9Cw
Corey Funk:
https://www.youtube.com/user/iamcoreyfunk
BrittHertz:
https://www.youtube.com/channel/UCQ8OG9xwI9PqGD2MmSeOpVQ
Billy Mann:
https://www.youtube.com/channel/UCjWNRKoXDaD5XaJSKMZ6guA
Kacey Dirksen (Sister) :
https://www.youtube.com/channel/UCV17e-wyxjzZEzRxH8j1rdQ
Rydel Lynch:
https://www.youtube.com/channel/UCzxWtRVuke4GnD6JWQ72U4A
Drage kamerman:
https://www.youtube.com/channel/UCmvSmzKYTFc_TdwVDxQA3Hg
Nick Moore:
https://www.youtube.com/user/NickScoped

About Drew Dirksen: Hey guys, welcome to my channel! Here you can find challenge videos, collabs, pranks on my friends, …. AND MORE! Make sure to subscribe and click the bell so you never miss a new video.

Always take the High Road!

#DrewDirksen",22,PT13M47S,FALSE,560201,6126,976
TMer1kmK1Bg,US,2025-02-24T00:15:06Z,UChjQI_NimfUxlLTDSz4vpMg,Trinidad Killa,Trinidad Killa — ESKIMO (Feat. Nicki Minaj) [Official Audio],"Official Lyrics

Trini Where?
Trini Trini Trini where?
Trini eyes Trini nose
Trini hair
I'z the only muddacunt
Trini here

Ayo he want his name in the snow
So I write it down
I make these bitches lift up
I don't fight them down
When he see me he be getting so excited now
Heard the killa want the queen
I should knight him now

Alive
Good morning
We nice
Yuh know this
The vibe
The feeling
Alive

Yuh know I out in the cold
Miss the sun when it snow
And I cyah fight the feeling
And I wish I could be dey for yuh
When yuh out on the road
I write yuh name in the snow
Now I missing the feeling
And I wish I could be dey with yuh

Now I feeling lonely
Cause I miss all the zess and the parties
Cause all that I have is the memories
Now I feeling lonely
Only vibes, only fun in the party
Big up you and yuh friend, everybody

Ayo, she my inferior, motives ulterior
These bitches bad but I
am a bit scarier
Eskimo coupe
that's the white on white
interior
Im in your area- eating
no cafeteria
You love me? Lemme hear
Red ruby cherry hair
Dem trini real nice
Dem man does really stare
Bitches be talking bout they Trini
Be like Trini where?
I'z the only muddacunt
Trini here

I know you wanna hit it
Come touch it for a
minute
St. James, Port of Spain If you really with it I miss you bad tho
When you coming back
home?
Waist on skinny but that
Ass on fatso

Big up the people who’s fight for we
Down dey
Down dey
To keep the music playing
To keep the music rotating
Big up the people who’s fight for we
And yuh know the gyal them love we
So keep the music playing

Yuh know I out in the cold
And I feeling alone
And I cyah fight the feeling
And I wish I could be dey for yuh
When yuh out on the road
I write yuh name in the snow
Now I missing the feeling
And I wish I could be dey with yuh

Now I feeling lonely
Cause I miss all the zess and the parties
Cause all that I have is the memories
Now I feeling lonely
Only vibes, only fun in the party
Big up you and yuh friend, everybody


2025 © Tyrpp Records®",10,PT3M2S,FALSE,246074,29188,7346
XhW3i2f54BQ,US,2025-02-24T05:37:32Z,UC-seBZmnGCMWm9aCHL2WcNQ,Wall Poster Cinema,HIT 3 Teaser : Sarkaar's Laathi | Nani | Sailesh Kolanu | Srinidhi Shetty | in Cinemas May 1st,"Watch #HIT3Teaser : Sarkaar's Laathi on Wall Poster Cinema 

Taking charge worldwide from 01-May-2025.

Cast & Crew Details

Starring 'Natural Star' as 'Arjun Sarkaar'.
Writer & Director : Dr. Sailesh Kolanu
Producer : Prashanti Tipirneni
Banners : Wall Poster Cinema & Unanimous Productions
Music : Mickey J Meyer
Cinematography : Sanu John Varghese
Editor : Karthika Srinivas R
Production Designer : Sri Nagendra Tangala
Executive Producer : S Venkatratnam (Venkat)
Sound design : Sync Cinema
PRO : Vamsi Shekar
Marketing : First Show
Publicity Designs : Aesthetic Kunjamma

HIT: The 3rd Case 

HUNTER'S COMMAND :- https://youtu.be/PT0lYT4O9tQ
Ready boys? :- https://youtu.be/1qxvcgBpj-o",1,PT1M45S,TRUE,16695651,323859,6689
inSv48lf4E0,US,2025-02-23T23:27:14Z,UC1HL3TABt6QGd_P857BH_CA,Evbo,Minecraft but I discover the AXES of PVP CIVILIZATION,"Minecraft but I discover the AXES of PVP CIVILIZATION...the second CRAZY episode of PVP CIVLIZATION CHAPTER 2.....

Voice Actors: Evbo, Teddy, @seawattgaming , @PrinceZam , @wemmbumc , @TabiMC , @ClownPierce , @Hannahxxrose , https://www.twitch.tv/toph033

Follow me on Twitch, Twitter, and Tiktok!
Tiktok: @evboshorts
Twitter: twitter.com/evboyt
Twitch: https://www.twitch.tv/evbolive​​​​​​​​​

Music/FX:
""Hit the Streets, Rynos Theme, Floating Cities, Leaving Home, Industrial Cinematic, Crypto, Ghostpocalypse - 2 The Call, Ghostpocalypse 3 Road of Trials""
Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 4.0
#minecraft",20,PT19M34S,FALSE,515433,28569,3703
RRPMgqCElPw,US,2025-02-20T23:25:34Z,UCu7G08TrwPx_0WH4M7OxjIQ,12 News,Valley high school coach arrested in trafficking investigation,Scottsdale police say Dobson High School Football coach Richard Godsil was one of 202 people arrested in a human trafficking investigation.,25,PT20S,TRUE,167929,436,100
8xX2TJB-h-U,US,2025-02-24T02:45:50Z,UCSZbXT5TLLW_i-5W8FZpFsg,Major League Soccer,LA Galaxy vs. San Diego FC | Full Match Highlights | History! San Diego Debut,"📺 Watch every match with MLS Season Pass on Apple TV: http://apple.co/MLS

The 🐐 plays here: https://www.mlssoccer.com/messi/

➡️ Subscribe Now: https://www.youtube.com/c/mls

➡️ Follow us on:
- TikTok: https://www.tiktok.com/@mls?lang=en
- Instagram: http://instagram.com/mls
- Twitter: https://twitter.com/MLS
- Like us on Facebook: http://www.facebook.com/MLS

➡️ Para Español:
- Instagram: http://instagram.com/mlses
- Twitter: https://twitter.com/MLSes
- Facebook: facebook.com/espanol.mls

For more information about MLS, go to the league's official website: http://www.MLSsoccer.com, en español http://www.MLSes.com

#mls #highlights #lagalaxy #sandiegofc",17,PT7M4S,FALSE,81829,2299,336
zOenfGWodjc,US,2025-02-23T03:19:44Z,UCcVqCJ_9owb1zM43vqswMNQ,BETNetworks,"Damon & Marlon Wayans Share Loving, Hilarious Speech at NAACP Image Awards '25 Hall of Fame","The Wayans family has redefined comedy and entertainment for decades. Led by Keenen Ivory Wayans, creator of In Living Color, they broke barriers in film, TV, and stand-up comedy, launching the careers of stars like Jim Carrey, Jamie Foxx, and Jennifer Lopez. With a fearless approach to storytelling, Keenen and his siblings—Damon, Marlon, Shawn, and Kim—have created iconic works like Scary Movie, White Chicks, and The Wayans Bros. The next generation, including Damon Wayans Jr., is continuing the legacy, with Marlon starring in Respect and Air, and the family gearing up for a Scary Movie reboot in 2026.

SUBSCRIBE to #BET! ►► http://bit.ly/1U0v9xG

Stream Black Culture with BET+. Kick back and enjoy movies, TV series, exclusive originals and the best of Tyler Perry. Sign up for BET+ ►► https://www.bet.plus/?xrs=BET_organic_youtube_general_description-link_US_45497

Connect with BET 
Web: http://www.BET.com
TikTok: https://www.tiktok.com/@bet
Instagram: http://www.instagram.com/BET
Facebook: http://www.facebook.com/BET
Twitter: http://www.twitter.com/BET
Snapchat: https://snapchat.com/t/5RT6vRzw
BET+: https://www.bet.plus 
https://www.instagram.com/betplus/
https://twitter.com/betplus
https://www.facebook.com/yourbetplus/
https://www.tiktok.com/@officialbetplus
Google+: http://www.bet.us/gplusBET",24,PT6M30S,TRUE,824265,23727,2746
7guWqihiGWY,BR,2025-02-24T00:01:31Z,UCZiYbVptd3PVPf4f6eR6UaQ,CazéTV,JOGO COMPLETO: CORINTHIANS X GUARANI | SUPER RODADA DECISIVA | PAULISTÃO 2025,"Assista, AO VIVO E COM IMAGENS, a partida entre Corinthians x Guarani, válida pela décima segunda rodada da fase de grupos!

Para assistir a Inter de Limeira x Santos, acesse: https://youtube.com/live/t-9hd-kmU0Q

#PaulistãoNaCazéTV",17,PT4H21M50S,FALSE,5221183,123359,42
DKnW21U3EPM,BR,2025-02-24T01:00:06Z,UC_oToDrJ6uca7d1dFVBmLtg,Canal GOAT,VASCO X BOTAFOGO | CAMPEONATO CARIOCA | AO VIVO E COM IMAGENS,"NACIONAL CAP: prêmios incríveis que podem mudar a sua vida! Você pode ser o próximo: https://bit.ly/4abs5Ns 

TUDO sobre o Canal GOAT em um só lugar: https://linktr.ee/canalgoatbr

Siga o canal de Gols do Bodinho no WhatsApp: https://whatsapp.com/channel/0029VaqqM5W4tRrxZ2sUlq3C

O Vasco recebe a equipe do Botafogo em São Januário. Esse confronto é válido pela 11ª rodada da Taça Guanabara. Acompanhe tudo do Campeonato Carioca ao vivo, com imagens e de graça aqui na tela do Canal GOAT! 

Já se inscreveu? Ative também as notificações para não perder nenhum lance!

▪️ Uma nova via de consumo esportivo. Inovador, disruptivo e GRÁTIS! 🐐

#vasco #campeonatocarioca #botafogo",17,PT4H25M1S,FALSE,1457763,35139,4
4O81PqWX38M,BR,2025-02-24T09:31:23Z,UCaGmdJSSiR7fkh2A-c6emsA,g1,Os áudios inéditos de militares e civis que planejavam derrubar o governo | FANTÁSTICO,"Polícia Federal apreendeu 1,2 mil equipamentos eletrônicos dos envolvidos na trama, e conseguiu extrair 255 milhões de mensagens de áudio e vídeo.

#fantástico 
----------------------------------------------------------------------------------------------------------------------------------------
Olá! 

Esse é o canal do g1, o portal de notícias da globo. Aqui vamos trazer vídeos pra informar, inspirar e divertir. 

Quer entender um fato? Vem com a gente! 🤔 
Quer ver histórias legais? Vem com a gente! 😊 
Quer saber o que tá acontecendo? Vem com a gente! 😉 

Veja todas as nossas playlists! https://bit.ly/3zdXlHY

Segue a gente e ativa o sino 🔔 pra saber tudo que tá rolando aqui no canal do g1 no YouTube. Pode entrar, fica à vontade pra compartilhar  com os amigos e não se esqueça de se inscrever, tá? https://glo.bo/3pIZyHL 🔔👍🏼

E muito mais conteúdo em g1.com.br

g1 nas Redes Sociais:

TikTok - glo.bo/33cZzg1
Kwai - glo.bo/3pJoShs
Facebook - facebook.com/g1
Twitter - twitter.com/g1
Instagram - instagram.com/portalg1/

#g1 #notícias",25,PT12M22S,FALSE,239938,17717,3560
RQ-QBX69IZo,BR,2025-02-24T00:28:26Z,UCZjZZc4lE_pPEKvAjKQhQbg,Domingo Legal,Entrevista exclusiva com a grávida de Taubaté | Domingo Legal (23/02/25),"No Domingo Legal a ""Grávida de Taubaté"" quebra o silêncio e fala pela primeira na TV após 13 anos. Celso Portiolli encontra pessoalmente Maria Verônica para uma conversa franca a respeito do caso que chocou o Brasil em 2012, além de toda a repercussão e os impactos disso em sua vida desde então.

Portiolli pergunta de forma direta se ela acha que as pessoas irão acreditar em suas palavras. “Eu não espero que elas acreditem em mim, mas eu espero que elas ouçam aquilo que eu vim para falar. O acreditar ou não acreditar nós temos o livre arbítrio”, afirma. Sobre o fato que a tornou nacionalmente famosa, comenta: “Eu nunca disse a ninguém que eu era uma coitadinha. Perdi a vida, vamos dizer assim. Eu vivi 13 anos no meu silêncio”.
---------------------------------------------------------------------------------------------------------------------------
O Domingo Legal já faz parte da vida dos brasileiros há 30 anos. A atração leva até a casa do telespectador um programa especial, com música, reportagens, celebridades, notícias e quadros que são campeões de audiência. Inscreva-se e não perca nenhum programa!

________________________________________________________________

Assine o canal do Domingo Legal: https://www.youtube.com/user/SBTDomingoLegal

Curta a página oficial no Facebook: https://www.facebook.com/DomingoLegal

Siga o programa no Instagram: https://www.instagram.com/domingo_legal

Siga o programa no Twitter: https://www.twitter.com/domingo_legal

Saiba mais em: http://www.sbt.com.br/domingolegal",24,PT53M54S,FALSE,194685,8005,3416
KETqtg_ZRfc,BR,2025-02-23T22:40:31Z,UCT7xKN6IOoITtqnfjB-6m1g,Canal do Benja,AO VIVO E COM IMAGENS: REMO X PAYSANDU | 7ª RODADA | PARAZÃO 2025,"JÁ SE INSCREVE NO CANAL DO BENJA E DEIXA O SEU LIKE! 👍

🕶 SEJA MEMBRO E GANHE BENEFÍCIOS:
https://www.youtube.com/channel/UCT7xKN6IOoITtqnfjB-6m1g/join

🔴 ASSISTA, AO VIVO E COM IMAGENS, REMO X PAYSANDU, VÁLIDA PELA SÉTIMA RODADA DO CAMPEONATO PARAENSE 2025! #parazaonobenja

⚠️ O MELHOR DO PARAZÃO 2025 É AQUI NO CANAL DO BENJA!

————————

O MATA MATA é parceiro oficial do Benja! ⚽🔥
Baixe o app agora mesmo pelo meu link e entre para o time no melhor game de futebol do Brasil! 🏆⚽
👉 https://matamatabr.app.link/benja-repa
Mostre que você realmente entende de futebol e desafie seus amigos! 💪⚽
📲 #JOGUEPRAVENCER

————————

A KTO é parceira do Canal do Benja
Use o meu link no site da KTO e registre-se na melhor casa de apostas do Brasil!
https://www.kto.bet.br/registro/?promoCode=BENJA
Aposte com responsabilidade!
Para maiores de 18 anos!

————————

@canaldobenjaoficial  #canaldobenja #parazão2025 #campeonatoparaense #parzaonobenja #paysandu #bragantino #papaodacuruzu #emersonsheik #muller #klebergladiador #parazaoaovivo #futebolraiz  #Benja #Benjaminback

Paysandu ao vivo
Paysandu agora
Jogo do Paysandu
Jogo do Paysandu ao vivo
Jogo do Paysandu com imagens
Paysandu hoje
Paysandu parazão 2025
Paysandu e Independente-PA ao vivo
Campeonato Paraense 2025
Parazão ao vivo
Jogo hoje do parazão
Remo ao vivo
Remo hoje
Remo agora
Jogo do Remo
Jogo do Remo ao vivo
Jogo do Remo agora
Remo parazão 2025
Remo e Santa Rosa
Jogo do Santa Rosa ao vivo
Parazão ao vivo
Parazão com imagens
Campeonato Paraense 2025
Repa ao vivo

- - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Conecte-se comigo:
Canal do Benja:  

 / benjaminbackoficial  

Quem é Benja:

Formado em Economia, Benjamin Back entrou para jornalismo esportivo de forma inesperada. Desde então, acumulou narrações de grandes eventos e comentários nos principais programas de várias emissoras do país.
Contratado dos canais Fox Sports desde 2014, o apresentador soma entrevistas com as maiores personalidades do futebol, sempre evidenciando seu jeito irreverente e bem humorado.
Benja cria conteúdos com muita irreverência, futebol com entretenimento e falando de futebol para o povo. Agora, Benja comanda o Arena todas segundas, às 23h no SBT e o Domingol na CNN todos os domingos, às 13h.",17,PT3H30M13S,FALSE,628041,25634,168
